Well	SampleOrder
1A	1
1B	2
1C	3
1D	4
1E	5
1F	6
1G	7
1H	8
2A	9
2B	10
2C	11
2D	12
2E	13
2F	14
2G	15
2H	16
3A	17
3B	18
3C	19
3D	20
3E	21
3F	22
3G	23
3H	24
4A	25
4B	26
4C	27
4D	28
4E	29
4F	30
4G	31
4H	32
5A	33
5B	34
5C	35
5D	36
5E	37
5F	38
5G	39
5H	40
6A	41
6B	42
6C	43
6D	44
6E	45
6F	46
6G	47
6H	48
7A	49
7B	50
7C	51
7D	52
7E	53
7F	54
7G	55
7H	56
8A	57
8B	58
8C	59
8D	60
8E	61
8F	62
8G	63
8H	64
9A	65
9B	66
9C	67
9D	68
9E	69
9F	70
9G	71
9H	72
10A	73
10B	74
10C	75
10D	76
10E	77
10F	78
10G	79
10H	80
11A	81
11B	82
11C	83
11D	84
11E	85
11F	86
11G	87
11H	88
12A	89
12B	90
12C	91
12D	92
12E	93
12F	94
12G	95
12H	96
